kod_obce,nazev_obce,volici_v_seznamu,vydane_obalky,platne_hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
563901,Bílá,718,452,449,30,1,0,37,71,23,5,1,7,0,1,51,0,9,137,0,2,11,2,5,1,1,51,3
563919,Bílý Kostel nad Nisou,785,523,518,24,7,1,9,138,49,3,4,12,0,0,34,0,12,163,1,0,1,0,1,0,0,59,0
546631,Bílý Potok,571,273,272,19,1,0,21,28,15,7,0,0,1,0,27,0,14,100,0,0,8,0,1,0,0,28,2
563935,Bulovka,694,307,307,15,0,0,27,40,44,0,5,3,0,0,14,0,6,99,1,1,0,0,4,0,1,45,2
563943,Cetenov,90,59,59,6,0,0,2,10,3,0,0,0,0,0,4,0,2,17,0,0,0,0,0,0,0,15,0
545996,Černousy,255,122,121,8,0,0,5,15,15,2,1,0,0,0,3,0,2,37,0,0,5,0,0,0,2,23,3
563960,Český Dub,2 127,1 338,1 331,117,3,0,78,184,120,20,4,35,4,3,142,0,29,382,1,4,38,2,2,3,0,157,3
544531,Čtveřín,401,261,258,22,0,2,11,34,11,2,3,3,0,1,34,1,7,87,0,0,2,0,2,1,0,34,1
546607,Dětřichov,540,282,281,12,0,0,13,50,28,1,3,6,2,0,12,1,1,97,0,4,1,2,0,0,0,45,3
530468,Dlouhý Most,697,442,442,43,1,0,21,61,28,10,5,8,0,3,50,0,12,131,1,0,9,1,1,0,1,53,3
563994,Dolní Řasnice,415,229,227,19,0,0,8,34,17,2,1,1,0,0,15,0,5,82,1,0,1,0,0,0,0,40,1
564028,Frýdlant,5 968,3 326,3 306,409,2,0,242,346,270,39,25,30,4,8,237,0,98,1 090,0,22,56,1,17,3,5,393,9
564036,Habartice,385,238,237,8,0,0,15,41,24,1,0,1,0,0,9,0,7,92,0,2,1,0,1,1,0,34,0
564044,Hejnice,2 224,1 280,1 264,102,2,0,88,242,79,19,9,15,0,4,93,0,39,383,2,5,26,0,3,5,4,140,4
